Group;Participants;Mean;Std;conf_lo;conf_hi;Question
Experts;17;0.335294;0.260201;0.30014923;0.37236998;Lines
Non experts;17;0.113793;0.076331;0.09647511;0.13376988;Lines
Astronomers;4;0.325000;0.264837;0.25608277;0.4025384;Lines
Musicians;10;0.3;0.266667;0.25636143;0.34761506;Lines
AstroMus;3;0.466667;0.322031;0.37816016;0.55735133;Lines
BVI2;17;0.229412;0.139891;0.19881907;0.26317708;Lines
Non BVI;29;0.279310;0.198055;0.25376157;0.30637805;Lines
Total;46;0.26087;0.169013;0.24093;0.28184;Lines
