Group;Participants;Mean;Std;conf_lo;conf_hi;Question
Astronomers;4;"0.462500
";"0.407778
";"0.40756586
";"0.51836464
";Turing
Musicians;10;"0.470000
";"0.255672
";"0.43494567
";"0.50535343
";Turing
Experts;3;"0.700000
";"0.303970
";"0.63796509
";"0.75543347
";Turing
Non experts;29;"0.512069
";"0.193218
";"0.49131071
";"0.53278565
";Turing
BVI2;17;"0.517647
";"0.162614
";"0.49053557
";"0.54465493
";Turing
Non BVI;29;"0.506897
";"0.213770
";"0.48614314
";"0.52762621
";Turing
Total;46;"0.510869
";"0.181677
";"0.49438607
";"0.52732944
";Turing
